job_name,submit_time,task_name,instance_num,task_duration,plan_cpu,plan_mem,plan_gpu,gpu_type,communicate_count,communicate_size
job41,15,task123,1,29,900,23,50,T4,1,277
job42,15,task124,1,20,400,9,50,MISC,4,282
job42,15,task125,1,20,400,9,50,MISC,5,284
job42,15,task126,1,30,400,9,50,MISC,2,103
job43,15,task127,1,30,600,14,150,MISC,4,36
job43,15,task128,1,30,600,14,150,MISC,3,579
job43,15,task129,1,26,600,14,150,MISC,3,749
job44,15,task130,1,28,500,13,200,MISC,1,717
job44,15,task131,1,20,500,13,200,MISC,5,648
job44,15,task132,1,25,500,13,200,MISC,5,59
job45,15,task133,1,27,1600,16,150,V100,2,549
job45,15,task134,1,27,1600,16,150,V100,3,97
job45,15,task135,1,23,1600,16,150,V100,2,928
job46,16,task136,1,29,200,30,150,T4,5,20
job46,16,task137,1,27,200,30,150,T4,3,629
job46,16,task138,1,30,200,30,150,T4,3,1002
job47,18,task139,1,27,500,21,150,V100,4,649
job47,18,task140,1,29,500,21,150,V100,1,622
job47,18,task141,1,29,500,21,150,V100,4,1007
job48,18,task142,1,21,400,19,150,MISC,4,365
job48,18,task143,1,26,400,19,150,MISC,2,101
job48,18,task144,1,29,400,19,150,MISC,4,790
job49,18,task145,1,26,1000,14,200,MISC,3,815
job49,18,task146,1,28,1000,14,200,MISC,4,782
job49,18,task147,1,30,1000,14,200,MISC,3,885
job50,19,task148,1,24,100,27,200,MISC,5,103
job50,19,task149,1,28,100,27,200,MISC,5,989
job50,19,task150,1,24,100,27,200,MISC,3,717
job51,19,task151,1,23,900,32,200,V100,2,28
job51,19,task152,1,28,900,32,200,V100,1,626
job51,19,task153,1,26,900,32,200,V100,5,477
job52,19,task154,1,23,400,22,200,MISC,4,571
job52,19,task155,1,28,400,22,200,MISC,3,599
job52,19,task156,1,23,400,22,200,MISC,2,191
job53,19,task157,1,28,400,16,200,V100,1,604
job53,19,task158,1,28,400,16,200,V100,1,464
job53,19,task159,1,22,400,16,200,V100,2,286
job54,19,task160,1,21,900,12,100,MISC,1,594
job54,19,task161,1,30,900,12,100,MISC,4,1009
job54,19,task162,1,28,900,12,100,MISC,3,170
job55,20,task163,1,28,700,31,200,MISC,3,786
job55,20,task164,1,30,700,31,200,MISC,4,380
job55,20,task165,1,20,700,31,200,MISC,3,127
job56,20,task166,1,24,600,8,200,MISC,1,893
job56,20,task167,1,23,600,8,200,MISC,5,429
job56,20,task168,1,24,600,8,200,MISC,5,620
job57,20,task169,1,28,500,12,150,MISC,1,651
job57,20,task170,1,25,500,12,150,MISC,2,68
job57,20,task171,1,24,500,12,150,MISC,3,1014
job58,20,task172,1,25,1600,13,150,MISC,3,233
job58,20,task173,1,29,1600,13,150,MISC,1,589
job58,20,task174,1,24,1600,13,150,MISC,5,710
job59,20,task175,1,20,1400,27,200,MISC,3,344
job59,20,task176,1,29,1400,27,200,MISC,4,813
job59,20,task177,1,25,1400,27,200,MISC,1,582
job60,20,task178,1,25,1200,18,100,MISC,1,1019
job60,20,task179,1,27,1200,18,100,MISC,2,409
job60,20,task180,1,26,1200,18,100,MISC,1,420
job61,21,task181,1,21,900,14,150,MISC,4,578
job61,21,task182,1,29,900,14,150,MISC,2,537
job61,21,task183,1,25,900,14,150,MISC,2,431
job62,21,task184,1,28,500,7,200,P100,5,180
job62,21,task185,1,30,500,7,200,P100,3,651
job62,21,task186,1,21,500,7,200,P100,2,799
job63,21,task187,1,22,500,29,150,V100,2,74
job63,21,task188,1,21,500,29,150,V100,2,882
job63,21,task189,1,26,500,29,150,V100,3,519
job64,21,task190,1,22,800,5,50,MISC,4,135
job64,21,task191,1,29,800,5,50,MISC,5,118
job64,21,task192,1,20,800,5,50,MISC,3,599
job65,21,task193,1,28,100,10,50,P100,1,555
job65,21,task194,1,25,100,10,50,P100,1,529
job65,21,task195,1,26,100,10,50,P100,2,254
job66,22,task196,1,26,1100,20,200,MISC,3,462
job66,22,task197,1,24,1100,20,200,MISC,2,338
job66,22,task198,1,24,1100,20,200,MISC,3,24
job67,23,task199,1,27,800,24,150,V100,3,431
job67,23,task200,1,25,800,24,150,V100,3,262
job67,23,task201,1,22,800,24,150,V100,1,805
job68,23,task202,1,22,500,20,150,MISC,2,487
job68,23,task203,1,30,500,20,150,MISC,5,325
job68,23,task204,1,28,500,20,150,MISC,3,372
job69,24,task205,1,25,1200,4,200,T4,3,628
job69,24,task206,1,26,1200,4,200,T4,5,246
job69,24,task207,1,28,1200,4,200,T4,1,423
job70,24,task208,1,30,1400,30,150,V100,2,885
job70,24,task209,1,23,1400,30,150,V100,2,448
job70,24,task210,1,24,1400,30,150,V100,5,476
job71,24,task211,1,27,1200,27,50,MISC,2,820
job71,24,task212,1,20,1200,27,50,MISC,3,292
job71,24,task213,1,29,1200,27,50,MISC,2,903
job72,24,task214,1,28,900,15,100,MISC,5,853
job72,24,task215,1,27,900,15,100,MISC,3,999
job72,24,task216,1,30,900,15,100,MISC,3,999
job73,24,task217,1,25,1200,1,150,MISC,3,1004
job73,24,task218,1,23,1200,1,150,MISC,1,66
job73,24,task219,1,29,1200,1,150,MISC,2,575
job74,25,task220,1,26,500,31,50,P100,4,463
job74,25,task221,1,30,500,31,50,P100,3,77
job74,25,task222,1,21,500,31,50,P100,2,193
job75,25,task223,1,26,1600,8,50,MISC,3,56
job75,25,task224,1,27,1600,8,50,MISC,3,895
job75,25,task225,1,24,1600,8,50,MISC,4,643
job76,25,task226,1,20,500,3,200,MISC,4,117
job76,25,task227,1,27,500,3,200,MISC,4,873
job76,25,task228,1,21,500,3,200,MISC,1,376
job77,26,task229,1,25,200,6,100,P100,2,235
job77,26,task230,1,28,200,6,100,P100,1,906
job77,26,task231,1,24,200,6,100,P100,3,581
job78,26,task232,1,30,1500,19,150,MISC,1,622
job78,26,task233,1,29,1500,19,150,MISC,4,242
job78,26,task234,1,26,1500,19,150,MISC,2,38
job79,26,task235,1,22,1600,29,100,MISC,4,483
job79,26,task236,1,21,1600,29,100,MISC,2,116
job79,26,task237,1,27,1600,29,100,MISC,1,540
job80,27,task238,1,25,1300,14,200,MISC,2,831
job80,27,task239,1,20,1300,14,200,MISC,1,847
job80,27,task240,1,29,1300,14,200,MISC,4,743
job81,28,task241,1,29,1500,4,200,MISC,2,713
job81,28,task242,1,22,1500,4,200,MISC,4,692
job81,28,task243,1,25,1500,4,200,MISC,5,195
job82,28,task244,1,26,500,4,50,T4,5,73
job82,28,task245,1,28,500,4,50,T4,3,111
job82,28,task246,1,28,500,4,50,T4,5,883
job83,29,task247,1,25,1400,8,50,T4,3,409
job83,29,task248,1,25,1400,8,50,T4,3,813
job83,29,task249,1,20,1400,8,50,T4,5,271
job84,29,task250,1,28,1300,9,50,MISC,4,231
job84,29,task251,1,22,1300,9,50,MISC,2,1017
job84,29,task252,1,29,1300,9,50,MISC,1,999
job85,29,task253,1,30,1200,9,200,MISC,3,249
job85,29,task254,1,27,1200,9,200,MISC,1,950
job85,29,task255,1,21,1200,9,200,MISC,3,794
job86,29,task256,1,20,1500,16,150,V100,5,818
job86,29,task257,1,23,1500,16,150,V100,5,49
job86,29,task258,1,22,1500,16,150,V100,5,634
job87,30,task259,1,23,700,13,100,P100,5,576
job87,30,task260,1,23,700,13,100,P100,4,884
job87,30,task261,1,26,700,13,100,P100,5,503
job88,31,task262,1,25,300,6,150,MISC,2,31
job88,31,task263,1,26,300,6,150,MISC,2,555
job88,31,task264,1,29,300,6,150,MISC,3,681
job89,31,task265,1,22,800,15,150,V100,4,911
job89,31,task266,1,21,800,15,150,V100,2,724
job89,31,task267,1,21,800,15,150,V100,2,170
job90,32,task268,1,22,500,5,50,T4,5,234
job90,32,task269,1,30,500,5,50,T4,1,847
job90,32,task270,1,29,500,5,50,T4,4,919
job91,32,task271,1,30,500,24,150,P100,4,244
job91,32,task272,1,29,500,24,150,P100,1,37
job91,32,task273,1,25,500,24,150,P100,1,419
job92,33,task274,1,28,1600,21,100,T4,1,180
job92,33,task275,1,25,1600,21,100,T4,2,110
job92,33,task276,1,28,1600,21,100,T4,1,842
job93,33,task277,1,27,1500,1,50,MISC,2,994
job93,33,task278,1,28,1500,1,50,MISC,2,874
job93,33,task279,1,22,1500,1,50,MISC,3,371
job94,33,task280,1,26,1100,22,200,MISC,5,734
job94,33,task281,1,28,1100,22,200,MISC,2,954
job94,33,task282,1,23,1100,22,200,MISC,3,80
job95,33,task283,1,26,400,29,50,MISC,2,645
job95,33,task284,1,30,400,29,50,MISC,2,1006
job95,33,task285,1,22,400,29,50,MISC,1,220
job96,34,task286,1,29,1500,27,150,MISC,2,948
job96,34,task287,1,25,1500,27,150,MISC,2,573
job96,34,task288,1,27,1500,27,150,MISC,3,540
job97,34,task289,1,26,700,27,150,MISC,4,17
job97,34,task290,1,30,700,27,150,MISC,3,195
job97,34,task291,1,26,700,27,150,MISC,4,143
job98,34,task292,1,30,900,12,100,P100,2,10
job98,34,task293,1,28,900,12,100,P100,4,405
job98,34,task294,1,25,900,12,100,P100,2,922
job99,35,task295,1,29,800,22,200,MISC,1,559
job99,35,task296,1,29,800,22,200,MISC,2,742
job99,35,task297,1,24,800,22,200,MISC,2,8
job100,36,task298,1,28,800,22,100,T4,5,741
job100,36,task299,1,21,800,22,100,T4,5,634
job100,36,task300,1,22,800,22,100,T4,3,690
